[2025-07-25 22:47:48] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 23:11:42] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 2
[2025-07-25 23:12:12] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 23:12:54] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 23:19:43] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 2
[2025-07-25 23:20:10] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 23:20:53] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 23:33:10] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 2
[2025-07-25 23:33:38] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 23:36:21] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 23:37:11] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 23:39:06] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 3
[2025-07-25 23:39:28] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 23:39:49] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 23:57:01] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 2
[2025-07-25 23:57:22] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-26 06:59:20] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 2
